"","County","State","Democrat vote raw","Democrat vote %","Republican vote raw","Republican vote %","Other vote raw","Other vote %","Less than 9th grade","9th to 12th grade","HS graduate and eq","College,No Degree","Associates Degree","Bachelors Degree","Graduate or professional degree","Gini Index","Median income","Mean income","Area","Density","Total Pop","Hispanic or Latino %","NH-White %","NH-Black %","NH-American Native %","NH-Asian %","NH-Native Pacific Islander %","NH-Other Race %","NH-Two or More Races %","% in Management, business, science, and arts","% in Service","% in Sales and Office","% in Resources and Construction","% in Transportation","Party"
"2784","Davis County","Utah",57411,33.79,104135,61.29,8349,4.91,1.4,2.9,21.2,25.5,10.6,25.5,12.9,0.3966,101285,123102,841.01,431.66,362679,10.83,80.64,1.11,0.4,1.9,0.88,0.34,3.89,44.31,13.04,22.58,7.74,12.33,"Republican"
"2785","Duchesne County","Utah",843,9.89,7513,88.14,168,1.97,2.2,8.7,39.2,26.5,9.1,9.8,4.5,0.4141,70821,86012,8379.97,2.36,19596,6.56,85.41,0.11,4.47,0.31,0.2,0.24,2.72,31.26,13.4,18.52,16.81,20,"Republican"
"2786","Emery County","Utah",572,11.76,4207,86.47,86,1.77,2.1,4.6,31.1,30.1,16.5,9.1,6.5,0.3684,67056,78765,11558.17,0.86,9825,7.18,89.68,0.02,0.56,0.37,0.07,0.16,1.96,27.58,18.38,16.57,22.46,15.01,"Republican"
"2787","Garfield County","Utah",514,18.81,2158,78.99,60,2.2,1.4,2.7,29.1,24.5,12,21,9.4,0.4324,56481,72278,13414.99,0.38,5083,7.55,87.47,0.1,1.77,0.59,0.14,0.06,2.32,35,30.59,12.45,11.25,10.7,"Republican"
"2788","Grand County","Utah",2806,54.12,2248,43.36,131,2.53,1.9,3.6,23.1,28.7,11,21.5,10.2,0.4553,59171,80818,9512.66,1.02,9669,12.68,77.37,0.67,3.41,0.83,0.11,0.64,4.28,35.18,26.78,22.58,8.31,7.14,"Democrat"
"2789","Iron County","Utah",4892,19.65,18989,76.29,1009,4.05,2,5,23.9,27.7,11.1,20.3,10,0.4207,63005,80860,8537.03,6.8,57289,9.57,83.12,0.65,1.65,1.08,0.41,0.27,3.23,31.85,19.95,22.24,11.9,14.07,"Republican"
"2790","Juab County","Utah",645,11,5087,86.72,134,2.28,1.3,5.1,34.1,27,11.1,14.7,6.7,0.3804,88048,99208,8784.75,1.36,11786,4.87,91.47,0.09,0.76,0.27,0.35,0.08,2.1,35.92,14.65,17.92,13.61,17.9,"Republican"
"2791","Kane County","Utah",1083,25.91,2998,71.72,99,2.37,1.5,4.1,26.4,25.7,9.8,22.1,10.3,0.4642,70327,89463,10344.78,0.76,7667,4.2,90.31,0.35,1.55,0.77,0.01,0.23,2.57,37.42,24.37,24.83,5.21,8.15,"Republican"
"2792","Millard County","Utah",624,10.13,5404,87.73,132,2.14,3.2,6.2,32.5,24.4,10.1,18,5.5,0.3943,69403,82688,17574.32,0.74,12975,13.67,81.97,0.12,0.77,1.09,0.1,0.21,2.07,27.12,18.26,18.76,15.77,20.09,"Republican"
"2793","Morgan County","Utah",1086,16.68,5181,79.56,245,3.76,0.6,1.1,22.9,26.1,11.6,24,13.6,0.3741,120854,145747,1577.81,7.84,12295,2.75,94.04,0.1,0.25,0.46,0,0.07,2.33,52.79,12.68,14.47,10.94,9.12,"Republican"
"2794","Piute County","Utah",86,9.87,773,88.75,12,1.38,4.6,6.5,34.6,23.7,11,13.9,5.8,0.4758,33359,49356,1963.75,0.9,1438,8.62,88.73,0,0.28,0,0,0.07,2.29,42.91,11.42,8.48,27.51,9.69,"Republican"
"2795","Rich County","Utah",180,13.21,1157,84.89,26,1.91,1.9,2.3,21.3,35.1,12.5,16.4,10.5,0.3703,69250,81732,2664.47,0.95,2510,3.86,92.79,0.44,0.04,0.08,0.16,0.04,2.59,26.3,15.19,29.87,16.41,12.23,"Republican"
"2796","Salt Lake County","Utah",289906,53.57,230174,42.53,21095,3.9,3.3,4.9,22.3,22.6,9.2,24.3,13.4,0.4295,90011,115832,1949.88,605.5,1185238,19.58,67.57,1.85,0.61,4.24,1.79,0.47,3.89,42.44,13.54,22.67,8.49,12.86,"Democrat"
"2797","San Juan County","Utah",3113,45.26,3535,51.4,230,3.34,6,6.2,31,27.4,10.3,12.9,6.1,0.5061,52108,75391,20263.46,0.72,14518,5.15,41.59,0.22,49.5,0.23,0.35,0.18,2.78,35.6,17.42,16.39,16.33,14.26,"Republican"
"2798","Sanpete County","Utah",1794,14.2,10459,82.8,378,2.99,3.8,6.4,31.2,25.3,10.9,13.2,9.1,0.4126,64356,81805,4117.61,7,28437,10.7,83.3,0.79,0.84,0.6,0.87,0.28,2.61,35.31,19.36,17.39,13.21,14.72,"Republican"
"2799","Sevier County","Utah",1084,10.46,9052,87.35,227,2.19,2.7,5.3,31.4,26.3,11.5,15.3,7.5,0.3859,66972,81543,4948.11,4.38,21522,4.89,90.12,0.3,1.45,0.19,0.23,0.23,2.59,31.43,17.29,23.66,13.57,14.03,"Republican"
"2800","Summit County","Utah",15244,58.43,10252,39.3,592,2.27,1.6,2.3,15.2,18.3,5.1,35.8,21.6,0.5103,126392,194835,4845.02,8.78,42357,11.18,82.89,0.38,0.16,1.71,0.1,0.37,3.22,50.1,16.05,21.27,6.31,6.27,"Democrat"
"2801","Tooele County","Utah",8943,28.37,21014,66.67,1561,4.95,2.1,5.3,31.8,27,11.3,14.8,7.8,0.3816,95545,112291,18234.21,4.06,72698,13.1,80.06,0.6,0.61,0.7,0.88,0.39,3.67,33.87,13.28,22.57,11.23,19.05,"Republican"
"2802","Uintah County","Utah",1663,10.86,13261,86.63,383,2.5,1.3,10,34.2,27.2,9.4,13.4,4.5,0.4184,67983,84449,11610.61,3.1,35620,7.96,80.65,0.25,6.39,0.44,0.27,0.33,3.71,27.71,19.29,21.19,13.46,18.35,"Republican"
"2803","Utah County","Utah",76033,26.73,192812,67.78,15635,5.5,1.8,3,16.8,25.4,10.2,29.8,13,0.4214,91263,116214,5191.53,128.29,659399,13.43,78.63,0.62,0.38,1.53,0.99,0.37,4.05,44.22,14.56,22.78,7.89,10.56,"Republican"
"2804","Wasatch County","Utah",6187,35.19,10795,61.4,599,3.41,2.6,1.9,18.9,20.7,9.2,30.8,15.9,0.4833,104855,152417,3048.29,11.48,34788,14.51,80.97,0.41,0.19,1,0.12,0.19,2.62,43.78,17.58,18.57,9.96,10.11,"Republican"
"2805","Washington County","Utah",20530,22.69,67294,74.38,2652,2.93,1.7,3.9,21.1,27.3,13.2,20.6,12.2,0.4464,71976,99534,6287.43,29.15,180279,11.36,81.8,0.51,0.87,1,0.89,0.35,3.23,36.59,17,24.84,8.84,12.73,"Republican"
"2806","Wayne County","Utah",365,22.52,1229,75.82,27,1.67,0.6,6.3,23.6,29.3,17.9,15.3,6.9,0.3715,64870,78610,6374.2,0.4,2486,3.86,91.19,0.04,0.76,0.64,0.12,0.2,3.18,40.97,11.62,19.15,16.09,12.17,"Republican"
"2807","Weber County","Utah",40695,36.52,65949,59.18,4798,4.31,2.6,5.1,29.1,26.3,9.8,18.8,8.2,0.3964,82291,99422,1582.61,166.16,262223,18.59,73.94,1.22,0.53,1.37,0.36,0.39,3.59,35.74,14.73,22.85,10.41,16.26,"Republican"
"2808","Addison County","Vermont",15089,66.73,6567,29.04,955,4.22,1.4,4.2,29.1,15.8,7.7,24.3,17.5,0.4127,85870,103237,1984.79,18.86,37363,3.09,89.5,0.92,0.21,1.59,0.03,0.29,4.37,42.41,13.51,19.66,12.58,11.83,"Democrat"
"2809","Bennington County","Vermont",11858,61.26,6724,34.74,775,4,1.9,4,28.1,18.4,8.2,21.4,18,0.4768,68558,94727,1746.26,21.37,37347,2.51,90.76,1.08,0.17,1.06,0.01,0.32,4.08,43.69,16.84,20.98,7.52,10.96,"Democrat"
"2810","Caledonia County","Vermont",8529,56.27,5924,39.08,705,4.65,1.9,4.4,33.3,21.4,7.6,19.2,12.3,0.4544,62964,84309,1681.45,18.09,30233,2,90.84,0.71,0.31,1.2,0.06,0.39,4.49,36.36,16.84,19.13,13.07,14.6,"Democrat"
"2811","Chittenden County","Vermont",72938,75.38,20104,20.78,3713,3.84,1.6,3.1,16.8,14.2,8.6,32.1,23.6,0.4444,89494,114146,1390.43,121.05,168323,2.82,84.88,2.83,0.17,4.28,0.03,0.45,4.53,53.37,14.89,18.31,6.09,7.34,"Democrat"
"2812","Essex County","Vermont",1890,44.61,2164,51.07,183,4.32,2.7,8.4,43.1,18,7.6,11.3,8.9,0.4432,55247,71462,1715.53,3.48,5920,1.13,93.65,0.25,0.24,0.27,0.08,0.08,4.29,33.9,17.77,16.44,14.92,16.97,"Republican"
"2813","Franklin County","Vermont",13612,52.21,11274,43.24,1186,4.55,2.9,5.2,37.5,17.2,9.9,17.5,9.9,0.4051,73633,88809,1634.18,30.66,49946,1.83,90.58,0.64,0.97,0.62,0.03,0.24,5.09,39.41,12.57,18.65,12.5,16.86,"Democrat"
"2814","Grand Isle County","Vermont",3346,57.87,2194,37.95,242,4.19,1,3,31.7,13.5,8.3,25.1,17.5,0.4352,86639,113302,211.78,34.63,7293,1.74,91.83,0.67,0.53,0.41,0,0.22,4.59,48.01,13.78,18.08,11.07,9.05,"Democrat"
"2815","Lamoille County","Vermont",10773,68.71,4171,26.6,735,4.69,1.3,4.5,23,20,8.4,27.2,15.6,0.4614,69886,98575,1194.64,21.74,25945,2.51,90.9,0.84,0.34,0.54,0,0.47,4.4,41.38,18.2,19.01,12.05,9.37,"Democrat"
"2816","Orange County","Vermont",8351,56.14,5782,38.87,743,4.99,1.8,4.2,33.4,14.3,11.1,19.1,16.1,0.3879,74534,89027,1779.34,16.54,29277,1.63,91.72,0.52,0.39,0.55,0.02,0.41,4.78,44.67,15.11,15.78,13.53,10.91,"Democrat"
"2817","Orleans County","Vermont",7757,50.23,7086,45.89,599,3.88,3,5.4,37.6,16.6,9.5,17.3,10.4,0.418,63981,79444,1798.88,15.26,27393,1.69,92.21,0.46,0.72,0.43,0,0.22,4.27,37.84,17.23,19.68,12.29,12.95,"Democrat"
"2818","Rutland County","Vermont",18746,53.91,14625,42.06,1401,4.03,1.8,4.6,33.9,17.1,9.5,20,13,0.4566,62641,83665,2410.11,25.14,60572,2.02,90.95,0.81,0.24,0.76,0.02,0.28,4.91,36.92,19.31,17.92,11.88,13.97,"Democrat"
"2819","Washington County","Vermont",25101,71.06,8707,24.65,1517,4.29,1.6,3.2,25.7,16.1,7.1,27.1,19.1,0.4353,77278,98630,1779.48,33.59,59807,2.62,89.8,1.02,0.23,1.06,0.04,0.53,4.7,48.62,14.65,17.63,10.64,8.46,"Democrat"
"2820","Windham County","Vermont",20057,70.49,7251,25.49,1144,4.02,1,4.7,30.3,16.5,7,21.2,19.2,0.4673,65473,90021,2035.62,22.53,45905,2.9,89.34,1.08,0.22,1.07,0.02,0.53,4.84,42.44,16.91,16.56,11.59,12.5,"Democrat"
"2821","Windsor County","Vermont",24779,68.25,10135,27.91,1394,3.84,1.5,3.6,28.9,16.4,8.8,24.1,16.7,0.4692,69492,98098,2510.07,23.04,57753,2.13,90.97,0.78,0.25,0.93,0.03,0.48,4.43,44.91,18.79,15.76,10.04,10.5,"Democrat"
"2822","Accomack County","Virginia",7578,44.68,9172,54.07,212,1.25,6.5,11.9,33,18.8,8.4,12.2,9.2,0.4523,52694,73075,1163.73,28.67,33413,10.27,59.33,25.86,0.19,0.75,0,0.3,3.31,24.65,19.52,19.59,13.96,22.28,"Republican"
"2823","Albemarle County","Virginia",42466,65.68,20804,32.18,1387,2.15,2.3,3.8,14.7,13.3,5.8,30.1,30.1,0.479,97708,137904,1866.01,60.3,112395,7.52,71.48,8.71,0.09,7.28,0.04,0.54,4.35,58.16,15.25,16.62,5.21,4.75,"Democrat"
"2824","Alexandria city","Virginia",66240,80.28,14544,17.63,1724,2.09,3.5,2.8,10.5,12,5.2,31.7,34.3,0.4589,113179,156781,38.68,4074.3,159467,18.42,49.24,19.64,0.14,7.03,0.05,0.64,4.85,62.57,13.82,13.23,4.55,5.84,"Democrat"
"2825","Alleghany County","Virginia",2243,27.34,5859,71.43,101,1.23,3.4,8.4,43.4,22.1,7.4,8.7,6.6,0.4621,52546,68475,1156.62,13.11,15223,1.17,90.35,4.44,0.14,0.39,0.05,0.16,3.3,29.7,19.82,15.74,11.91,22.82,"Republican"
"2826","Amelia County","Virginia",2411,30.55,5390,68.29,92,1.17,5.2,8.4,45.3,15.5,7.9,12.8,5,0.4294,63438,83253,920.38,14.46,13265,3.2,73.03,19.19,0.14,0.47,0,0.38,3.59,29.92,14.91,18.03,21.26,15.88,"Republican"
"2827","Amherst County","Virginia",5672,33.35,11041,64.93,292,1.72,4.3,8,37.9,18.1,9.8,13.4,8.4,0.4527,64454,84089,1227.55,25.6,31307,2.68,73.36,17.08,0.78,0.58,0.08,0.46,4.99,33.98,16.93,19.56,11.41,18.12,"Republican"
"2828","Appomattox County","Virginia",2418,26.09,6702,72.31,148,1.6,3.8,6.3,39.7,23.5,7.4,14.2,5.1,0.4216,60041,74825,865.64,18.78,16119,2.13,75.41,17.85,0.31,0.26,0.02,0.52,3.5,31.1,14.71,25.18,12.55,16.46,"Republican"
"2829","Arlington County","Virginia",105344,80.6,22318,17.08,3037,2.32,3,1.7,7.3,8,3.3,35.7,41.1,0.4525,137387,180199,67.33,3502.82,238643,15.66,58.52,8.52,0.11,11.41,0.05,0.62,5.11,73.28,8.78,12.16,2.53,3.25,"Democrat"
"2830","Augusta County","Virginia",10840,25.64,30714,72.65,724,1.71,3.7,6.5,40.3,18.9,7.4,15.6,7.6,0.3979,76124,89194,2504.71,30.91,77487,3.52,88.24,3.96,0.17,0.59,0.03,0.26,3.22,34.54,14.78,21.16,11.24,18.28,"Republican"
"2831","Bath County","Virginia",646,25.83,1834,73.33,21,0.84,6.5,7.5,36.6,24,7,12.7,5.7,0.474,55699,74381,1370.63,3.05,4209,1.73,91.26,2.71,0.07,0.4,0.02,0.1,3.71,36.57,22.13,15.46,17.8,8.04,"Republican"
"2832","Bedford County","Virginia",12176,25.02,35600,73.15,893,1.83,2.5,5,29.4,21.5,9,19.9,12.7,0.441,74773,98237,1968.66,40.52,79462,2.59,85.74,6.12,0.21,1.22,0.04,0.41,3.67,42.93,12.61,20.62,9.69,14.16,"Republican"
"2833","Bland County","Virginia",532,15.29,2903,83.44,44,1.26,2.1,6,45.5,22.1,7.9,11.3,5.1,0.377,59901,74177,926.3,6.74,6270,0.96,93.41,2.66,0,0.06,0,0.08,2.82,26.49,11.75,25.7,14.43,21.62,"Republican"
"2834","Botetourt County","Virginia",5700,26.99,15099,71.49,321,1.52,2.5,4,35.1,18.8,12,17.2,10.5,0.4298,77680,99520,1401.9,24.06,33596,2.31,90.8,2.69,0.13,0.7,0.01,0.3,3.06,34.39,17.32,25.05,8.7,14.53,"Republican"
"2835","Bristol city","Virginia",2313,29.63,5347,68.5,146,1.87,2.6,11.1,30.6,24.7,8.1,11.8,11,0.4824,45250,66716,33.34,510.98,17219,2.64,85.09,5.85,0.32,0.92,0.02,0.21,4.94,33,20.54,23.32,6.84,16.3,"Republican"
"2836","Brunswick County","Virginia",4552,57.27,3357,42.24,39,0.49,6.6,16.9,34.5,19.2,6.8,9.9,6.1,0.4291,52678,67794,1466.55,10.89,15849,2.44,40.74,54.09,0.15,0.27,0.03,0.18,2.1,23.95,22.33,21.14,6.6,25.98,"Democrat"
"2837","Buchanan County","Virginia",1587,15.94,8311,83.5,55,0.55,10.2,15.5,39.4,16.9,7,5.5,5.4,0.4718,39591,55860,1302.39,15.55,20355,0.87,94.37,3.01,0.07,0.24,0,0.05,1.38,29.1,14.79,18.8,22.67,14.64,"Republican"
"2838","Buckingham County","Virginia",3471,42.71,4544,55.92,111,1.37,6.7,9.2,45.3,20.4,6.3,7.8,4.3,0.429,59894,73274,1501.22,11.24,16824,2.45,61.31,32.04,0.26,0.35,0,0.31,3.28,24.45,17.23,19.85,18.39,20.07,"Republican"
"2839","Buena Vista city","Virginia",825,29.72,1863,67.11,88,3.17,5.6,13.2,32.7,19.5,7.7,13.1,8.3,0.5618,48783,81044,16.67,398.26,6641,3.45,85.23,4.35,0.59,0.36,0.36,0.27,5.39,29.36,35.45,15.98,7.86,11.36,"Republican"
"2840","Campbell County","Virginia",8070,27,21245,71.07,577,1.93,3.5,6.1,34.3,22.5,9,16.4,8.2,0.4188,59022,76036,1303.3,42.6,55696,3.26,77,13.93,0.3,1.08,0.01,0.43,3.98,33.94,16.25,20.86,9.15,19.8,"Republican"
"2841","Caroline County","Virginia",7657,47.01,8336,51.18,295,1.81,2.7,7.9,40,19.3,7.7,13.8,8.5,0.4114,83562,100056,1365.86,22.83,30887,6.37,61,24.69,0.52,0.96,0.05,0.53,5.88,36.68,14.29,22.77,12.1,14.17,"Republican"
"2842","Carroll County","Virginia",2842,18.16,12659,80.88,150,0.96,6.8,10.1,38.1,17.7,11.3,11.3,4.6,0.4374,49113,63652,1229.58,23.69,29155,3.57,92.75,0.56,0.12,0.27,0.01,0.14,2.57,33.64,16.7,16.13,12.29,21.25,"Republican"
"2843","Charles City County","Virginia",2624,59.09,1761,39.65,56,1.26,3.5,11.6,40.1,20.9,7.8,11.8,4.4,0.4538,65573,85855,473.71,14.27,6773,1.49,44.25,41.87,6.51,0.5,0.09,0.74,4.55,28.58,17.53,21.22,14.11,18.56,"Democrat"
"2844","Charlotte County","Virginia",2317,37.43,3815,61.62,59,0.95,4.5,11,38,19.7,10.1,9.7,7,0.4587,51548,65796,1231.01,9.39,11529,2.19,66.59,27.24,0.16,0.2,0.05,0.3,3.27,30.92,16.61,21.97,13.5,17,"Republican"
"2845","Charlottesville city","Virginia",20696,85.5,3094,12.78,415,1.71,3.1,4.9,15.7,12.3,5,28,30.9,0.5385,67177,104674,26.54,1744.12,46553,6.89,63.6,15.1,0.14,8.73,0.04,0.47,5.03,60.52,15.83,14.7,2.92,6.04,"Democrat"
"2846","Chesapeake city","Virginia",66377,52.22,58180,45.77,2551,2.01,2.5,4.2,23.5,24,10.1,22.2,13.6,0.4155,92703,114454,876.6,284.48,249422,7.15,54.4,28.42,0.29,3.56,0.13,0.49,5.57,43.92,16.01,19.78,9.15,11.14,"Democrat"
"2847","Chesterfield County","Virginia",106935,52.45,93326,45.77,3623,1.78,3.1,4.3,22.3,19.4,8.6,25.9,16.4,0.4209,95757,120588,1096.87,333.69,364548,11.04,57.85,22.35,0.23,3.59,0.05,0.58,4.31,46.95,13.76,20.5,8,10.79,"Democrat"
"2848","Clarke County","Virginia",3920,41.98,5192,55.61,225,2.41,1.8,4.5,29.5,21.6,8.2,22.2,12.3,0.4137,107475,125848,455.73,32.66,14783,6,83.26,3.82,0.22,1.42,0.1,0.6,4.57,46.67,13.18,20.66,10.21,9.28,"Republican"
"2849","Colonial Heights city","Virginia",2972,32.5,6007,65.68,167,1.83,4.2,4.3,31,22.6,9.8,16.9,11.2,0.4125,72216,87287,19.48,932.14,18170,7.02,68.29,15.67,0.18,3.13,0.07,0.47,5.16,39.36,15.2,21.89,9.36,14.21,"Republican"
"2850","Covington city","Virginia",964,37.03,1580,60.7,59,2.27,2.6,8.8,48,22.1,7.1,7.4,4,0.3966,45737,55199,14.16,404.1,5737,3.12,79.15,12.48,0.21,0.56,0.09,0.19,4.2,23.21,22.1,24.14,15.78,14.76,"Republican"
"2851","Craig County","Virginia",587,18.52,2536,80.03,46,1.45,2.8,9.2,41.7,19.2,11,10.9,5.1,0.3917,66286,83740,849.77,5.76,4892,1.08,94.66,0.22,0.1,0.22,0.06,0.25,3.39,33.5,12.97,22.38,10.67,20.48,"Republican"
"2852","Culpeper County","Virginia",10617,39.15,16012,59.05,487,1.8,3.6,7,34,19.4,9.1,17.6,9.3,0.4128,92359,112583,982.08,53.79,52552,14.29,66.3,12.28,0.21,1.46,0.04,0.44,4.99,37.39,18.07,20.13,10.94,13.47,"Republican"
"2853","Cumberland County","Virginia",2227,41.94,3019,56.85,64,1.21,5.8,8.1,34.7,22.1,10.8,9.8,8.8,0.4965,56497,91502,770.45,12.59,9675,2.49,63.09,29.12,0.4,0.37,0.08,0.41,4.03,28.29,23.75,22.86,14.38,10.71,"Republican"
"2854","Danville city","Virginia",11710,60.4,7428,38.31,251,1.29,4.8,10.7,38.4,18.5,8.9,11.6,7,0.494,41484,59489,110.86,383.43,42590,4.87,39.64,51.03,0.21,1.18,0,0.34,2.73,26.17,22.11,20.29,8.49,22.94,"Democrat"
"2855","Dickenson County","Virginia",1503,20.58,5748,78.71,52,0.71,7.2,11.5,39.3,21.2,9.4,9.3,2.1,0.4843,40143,56343,855.84,16.46,14124,0.59,96.93,0.34,0.16,0.08,0.01,0.08,1.8,35.55,23.05,19.25,12.05,10.08,"Republican"
"2856","Dinwiddie County","Virginia",6224,41.24,8695,57.61,173,1.15,3.5,7,39.5,20.9,11.3,11,6.8,0.4228,77225,92305,1305.06,21.5,27947,4.04,62.07,29.04,0.33,0.43,0.01,0.36,3.73,30.68,14.44,22.97,11.67,20.24,"Republican"
"2857","Emporia city","Virginia",1612,67.7,754,31.67,15,0.63,8.4,14.7,35.2,15.6,9.7,9.6,6.9,0.4513,41442,61212,17.88,317.67,5766,5.98,26.52,62.97,0.12,0.87,0.07,0.64,2.83,21.33,18.22,19.68,7.55,33.23,"Democrat"
"2858","Essex County","Virginia",3038,49.17,3075,49.77,65,1.05,5.8,11.6,36.3,25.9,5,10.1,5.2,0.4421,52335,67229,666.54,15.91,10599,3.48,55.39,35.31,0.58,0.58,0.03,0.38,4.25,31.39,16.88,20.88,15.83,15.02,"Republican"
"2859","Fairfax County","Virginia",419943,69.89,168401,28.03,12479,2.08,3.5,3,12.2,11.7,5.5,31.8,32.3,0.4323,145165,185205,1012.74,1130.95,1150309,17.32,47.12,9.42,0.12,20.33,0.07,0.61,5.01,61.5,13.5,15.14,4.61,5.25,"Democrat"
"2860","Fairfax city","Virginia",9174,68.04,4007,29.72,302,2.24,3.7,4.1,14.1,12.1,5.9,31,29,0.4289,128708,160337,16.16,1500.12,24146,17.72,53.47,4.36,0.18,18.72,0.04,0.84,4.68,57.41,16.44,15.39,3.88,6.87,"Democrat"
"2861","Falls Church city","Virginia",7146,81.03,1490,16.9,183,2.08,1.5,1.1,7.1,9.2,2.2,30.6,48.3,0.439,164536,209659,5.3,2750.19,14658,10.43,67.92,3.78,0.08,10.19,0.07,0.8,6.73,71.17,9.96,14.15,2.2,2.51,"Democrat"
"2862","Fauquier County","Virginia",17565,40.23,25106,57.5,990,2.27,2.9,4.8,24.3,21.6,6.9,24.1,15.3,0.4165,122785,151544,1678.3,43.67,72972,10.68,75.33,6.85,0.18,1.65,0.07,0.46,4.78,46.82,14.9,18.58,11.13,8.57,"Republican"
"2863","Floyd County","Virginia",3004,31.93,6225,66.17,179,1.9,3.6,5.6,38,17.3,12.4,13.6,9.6,0.421,57146,71387,986.59,15.74,15476,3.15,91.2,1.51,0.12,0.3,0,0.47,3.26,37.18,13.96,15.15,13.04,20.67,"Republican"
"2864","Fluvanna County","Virginia",7414,46.81,8155,51.48,271,1.71,1.7,5,25,24,8.5,22.5,13.3,0.4839,90766,125295,743.63,36.9,27249,4.06,76.19,13.46,0.25,0.78,0.03,0.57,4.66,43.21,17.85,18.56,11.02,9.37,"Republican"
"2865","Franklin County","Virginia",8381,28.22,20895,70.35,426,1.43,3.7,6.6,34.5,21.5,9.8,15.3,8.5,0.4691,66275,89849,1788.67,30.66,54477,3.59,84.84,7.06,0.14,0.56,0.04,0.28,3.5,35.07,17.34,20.13,11.19,16.26,"Republican"
"2866","Franklin city","Virginia",2525,62.22,1487,36.64,46,1.13,4,11.8,32.4,20.3,8.3,13,10.2,0.4336,57537,70700,21.44,382.18,8180,2.67,36.26,56.36,0.31,0.99,0.02,0.2,3.2,29.37,22.85,19.45,10.18,18.15,"Democrat"
"2867","Frederick County","Virginia",17207,35.33,30558,62.74,938,1.93,4.3,7.1,31.2,20.9,7.5,17,12,0.4042,92443,114214,1070.01,85.99,91419,10.93,78.47,3.94,0.13,1.82,0.04,0.44,4.23,39.77,15.04,20.9,10.74,13.56,"Republican"
"2868","Fredericksburg city","Virginia",8517,66.22,4037,31.39,308,2.39,3.8,3.7,21.5,22.6,5,24.9,18.6,0.4579,83445,110066,27.07,1043.89,27982,12.41,54.32,21.29,0.31,4.74,0.09,1,5.85,49.81,15.71,18.42,6.42,9.64,"Democrat"
"2869","Galax city","Virginia",777,29.45,1838,69.67,23,0.87,7.3,12.5,25.7,26.3,10.8,10.2,7.2,0.5161,44612,73068,21.33,313.5,6720,15.79,74.03,5.27,0.19,0.77,0,0.22,3.72,30.83,19.21,26.39,7.4,16.17,"Republican"
"2870","Giles County","Virginia",2156,23.5,6876,74.93,144,1.57,3.3,6.3,40.8,21.9,8.4,11.3,7.9,0.3925,61987,73546,925.21,18.06,16787,1.45,93.36,1.42,0.17,0.41,0,0.11,3.07,27.26,18.93,18.96,12.44,22.41,"Republican"
"2871","Gloucester County","Virginia",6964,31.25,14875,66.76,443,1.99,2.6,7.5,30.4,24.9,9.2,16,9.5,0.3885,83750,100712,564.12,68.91,38711,3.64,82.6,6.99,0.33,0.79,0.05,0.37,5.23,35.25,17.16,21.76,12.91,12.91,"Republican"
"2872","Goochland County","Virginia",6685,39.44,9966,58.8,299,1.76,2,3.8,23.2,18.8,7.7,25,19.5,0.4929,105600,159778,730.45,34.1,24727,3.49,77.17,13.15,0.23,1.99,0.01,0.59,3.36,48.97,14.22,22.83,8.07,5.9,"Republican"
"2873","Grayson County","Virginia",1535,18.88,6529,80.3,67,0.82,5.8,11.2,39.5,16.9,12.5,10.3,3.8,0.4706,43348,62651,1144.22,13.42,15333,3.89,87.37,5.78,0.17,0.16,0.01,0.2,2.43,30.04,21.13,15.58,10.73,22.52,"Republican"
"2874","Greene County","Virginia",4163,36.8,6866,60.7,282,2.49,3,7.6,32.3,20.4,8.7,17.3,10.6,0.4027,81338,105126,403.9,51.08,20552,6.47,78.89,7.02,0.13,2.22,0.02,0.45,4.81,35.83,14.48,24.33,14.23,11.12,"Republican"
"2875","Greensville County","Virginia",2627,57.43,1914,41.85,33,0.72,7.9,12.4,39.2,19.9,7.1,8.7,4.7,0.4617,51823,74132,764.63,14.87,11391,2.42,37.02,58.08,0.17,0.28,0,0.11,1.91,31.19,27.04,19.07,8.55,14.15,"Democrat"
"2876","Halifax County","Virginia",7666,42.01,10418,57.09,164,0.9,7.3,10.6,36.1,19.5,9.5,11.4,5.7,0.4493,49145,63524,2117.91,16.06,34022,2.23,59.52,34.5,0.23,0.64,0.01,0.33,2.54,29.95,19.94,17.5,9.8,22.8,"Republican"
"2877","Hampton city","Virginia",46220,70.14,18430,27.97,1251,1.9,2.4,4.9,29.2,24.7,11.1,16.8,10.8,0.4368,64430,81921,133.28,1029.54,137148,6.13,36.01,48.58,0.35,2.55,0.15,0.65,5.57,37.06,18.29,21.37,8.64,14.63,"Democrat"
"2878","Hanover County","Virginia",25307,35.66,44318,62.45,1342,1.89,2,3.6,24.3,19.9,8.3,26.5,15.4,0.4191,104678,129282,1211.01,91.26,109979,3.58,80.81,8.8,0.28,1.84,0.03,0.46,4.2,46.92,12.8,21.89,9.12,9.27,"Republican"
"2879","Harrisonburg city","Virginia",11022,64.51,5591,32.72,473,2.77,9.2,7.2,25.7,14.6,8,19.8,15.4,0.4802,56050,75009,44.9,1153.32,51814,23.25,60.71,7.54,0.14,4.03,0.04,0.38,3.92,36.66,21.32,16.99,9.13,15.9,"Democrat"
